구역,이름,구글맵링크,좌표,비고
용산,현선이네 용산본점,https://maps.app.goo.gl/1KMycP6j59ymCXX6A,"37.53130676062777, 126.96922705433626",떡볶이. 뭔가 인기 많아보여서 먹기 빡셀지도..
용산,이여곰탕 용산점,https://maps.app.goo.gl/phS847Q7YMXx4qi79,"37.53159149395771, 126.97023433906901",곰탕
용산,한촌설렁탕 용산아이파크몰점,https://maps.app.goo.gl/uypyBcZjC6cgEXiY8,"37.529767156366326, 126.96448893454988",설렁탕
용산,이북집 찹쌀순대 용산점,https://maps.app.goo.gl/U1KjZuoWi8YVgh7H9,"37.53053017925959, 126.97046145667011",순대국밥
용산,광천옥,https://maps.app.goo.gl/LfhWQEZcTPrT5RYa7,"37.5305209626846, 126.97006011063496","이북집 바로 아래 국밥집"
용산,더진국 수육국밥 용산센트럴파크점,https://maps.app.goo.gl/xGdXNx9fAqeubusF6,"37.526126009427884, 126.9678081008513","국밥"
용산,청송식당 용산아이파크몰점,https://maps.app.goo.gl/BrNW1VNcEVpgm6qd6,"37.53086387910224, 126.96461086209989","분식종류"
용산,한강로칼국수용산아이파크몰점,https://maps.app.goo.gl/BnuSUW8VvzBMQVCPA,"37.53014749704157, 126.96489906223174","칼국수"
용산,오시반상,https://maps.app.goo.gl/Nt7gbuSM7eRNaZoKA,"37.528035626301694, 126.96766428365251","갈비탕 미역국 비빔밥 등등"
용산,북천,https://maps.app.goo.gl/MQnAyxTqaYWXGta77,"37.52398573461772, 126.96439245481612","돈까스"
용산,정성돈가스 본점,https://maps.app.goo.gl/BkLgdm2Wd2Jedtxy5,"37.53131967660508, 126.96952079505319","돈까스"
용산,공탕 용산본점,https://maps.app.goo.gl/NN17NqmnFoJPED3i6,"37.52608715670893, 126.96405119714353","국밥"
용산,규카츠정 용산점,https://maps.app.goo.gl/zCTn3ZmRtKghntiv9,"37.53169896167941, 126.97313148365264","규카츠. 가격대 있음."
용산,꿈꾸는메밀,https://maps.app.goo.gl/JKMdBBvBCPwij2bt9,"37.53000314732766, 126.96450449528982","메밀국시"
용산,백랑,https://maps.app.goo.gl/VqBXfMnyW9QJL44o6,"37.53162563858899, 126.96509338263039","국밥"
용산,호원칼국수,https://maps.app.goo.gl/6paNkCDPLMiNijN5A,"37.5330094080773, 126.95958259899776","바싹불고기, 칼국수"
용산,온채당 용산아이파크몰점,https://maps.app.goo.gl/xV7WDb6qtFkBGCPw8,"37.53076021998743, 126.96501469714369","코다리 냉면"
용산,찬장 용산 아이파크몰점,https://maps.app.goo.gl/AqfdeBCDuvFEeXJD8,"37.52953995684753, 126.96400317016132","솥밥, 한식류"
용산,서용관,https://www.google.com/maps/search/?api=1&query=서용관&query_place_id=ChIJIUC7OZujfDURCzckcQjgOy8,"37.527547, 126.965592","곰탕"
용산,산동,https://www.google.com/maps/search/?api=1&query=산동&query_place_id=ChIJO26GDHCjfDURSyH1nr9D0wU,"37.530489, 126.968583","텐동, 사케동"
용산,온기정 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=온기정+용산아이파크몰점&query_place_id=ChIJw5WG5wSjfDURcpXv-mPkcYY,"37.530146, 126.965199","덮밥, 텐동"
용산,카츠신보 신용산,https://www.google.com/maps/search/?api=1&query=카츠신보+신용산&query_place_id=ChIJF8acYgujfDURUH0RS6REJuI,"37.530562, 126.970185","카츠"
용산,홍대개미 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=홍대개미+용산아이파크몰점&query_place_id=ChIJm_3LRH6jfDURf5Iwz4UMprQ,"37.529760, 126.964769","덮밥"
용산,멘야서울 용산본점,https://www.google.com/maps/search/?api=1&query=멘야서울+용산본점&query_place_id=ChIJE5Z5VwCjfDURwk8dCPubvAU,"37.533689, 126.960903","퓨전라멘? 뭔 라멘에 동파육을 넣더라고.."
